"","PARK","BOROUGH","SIZE","CATEGORY","MURDER","RAPE","ROBBERY","FELONY_ASSAULT","BURGLARY","GRAND_LARCENY","GRAND_LARCENY__MOTOR","TOTAL","Year","Quarter"
"7286","DUGAN PLAYGROUND","STATEN ISLAND",3.33,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7287","EVERGREEN PARK","QUEENS       ",3.32,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7288","JOHN JAY PARK","MANHATTAN    ",3.31,"ONE ACRE OR LARGER",0,0,0,0,0,4,0,4,2016,"Q3"
"7289","UNIVERSITY WOODS","BRONX        ",3.31,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7290","WATSON GLEASON PLAYGROUND","BRONX        ",3.3,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,2016,"Q3"
"7291","TOTTENVILLE POOL","STATEN ISLAND",3.26,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7292","VITO LOCASCIO FIELD","QUEENS       ",3.26,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7293","CALLAHAN-KELLY PLAYGROUND","BROOKLYN     ",3.25,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7294","JUDGE MOSES WEINSTEIN PLAYGROUND","QUEENS       ",3.25,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7295","COLUMBUS PARK AT MANHATTAN","MANHATTAN    ",3.23,"ONE ACRE OR LARGER",0,0,0,1,0,0,0,1,2016,"Q3"
"7296","GREENCROFT PLAYGROUND","STATEN ISLAND",3.23,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7297","SCARANGELLA PARK","BROOKLYN     ",3.21,"ONE ACRE OR LARGER",1,0,0,0,0,0,0,1,2016,"Q3"
"7298","SARATOGA PARK","BROOKLYN     ",3.21,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,2016,"Q3"
"7299","BILL BROWN PLAYGROUND","BROOKLYN     ",3.21,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7300","NOBLE PLAYGROUND","BRONX        ",3.21,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,2016,"Q3"
"7301","JAMAICA PLAYGROUND","QUEENS       ",3.21,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7302","MARCY PLAYGROUND","BROOKLYN     ",3.2,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7303","LYONS POOL","STATEN ISLAND",3.2,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7304","WAYANDA PARK","QUEENS       ",3.17,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7305","AMERICAN VETERANS MEMORIAL PIER","BROOKLYN     ",3.17,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7306","HOLCOMBE RUCKER PARK","MANHATTAN    ",3.13,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7307","JESSE OWENS PLAYGROUND","BROOKLYN     ",3.1,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7308","EAST RIVER WALK","MANHATTAN    ",3.09,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7309","PARK OF THE AMERICAS","QUEENS       ",3.08,"ONE ACRE OR LARGER",0,0,1,0,0,0,0,1,2016,"Q3"
"7310","BROOKLYN HEIGHTS PROMENADE","BROOKLYN     ",3.04,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7311","J.J. BYRNE PLAYGROUND","BROOKLYN     ",3.03,"ONE ACRE OR LARGER",0,0,1,1,0,0,0,2,2016,"Q3"
"7312","HERO PARK","STATEN ISLAND",3.02,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7313","NOSTRAND PLAYGROUND","BROOKLYN     ",3.02,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7314","FORT INDEPENDENCE PLAYGROUND","BRONX        ",3.02,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7315","BROWNSVILLE PLAYGROUND","BROOKLYN     ",3.02,"ONE ACRE OR LARGER",0,0,0,0,0,1,0,1,2016,"Q3"
"7316","GRANDVIEW PLAYGROUND","STATEN ISLAND",3.01,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7317","LAWRENCE VIRGILIO PLAYGROUND","QUEENS       ",3.01,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7318","JACOB JOFFE FIELDS","BROOKLYN     ",2.98,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7319","CLASSON PLAYGROUND AT CLASSON AVENUE & KENT","BROOKLYN     ",2.98,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
"7320","UTOPIA PLAYGROUND","QUEENS       ",2.98,"ONE ACRE OR LARGER",0,0,0,0,0,0,0,0,2016,"Q3"
